5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/1/2024 0:00,52,1,100,5458
1/1/2024 0:15,15,1,100,5458
1/1/2024 0:30,5,1,100,5458
1/1/2024 0:45,54,1,100,5458
1/1/2024 1:00,36,1,100,5458
1/1/2024 1:15,84,1,100,5458
1/1/2024 1:30,98,1,100,5458
1/1/2024 1:45,3,1,100,5458
1/1/2024 2:00,11,1,100,5458
1/1/2024 2:15,73,1,100,5458
1/1/2024 2:30,94,1,100,5458
1/1/2024 2:45,6,1,100,5458
1/1/2024 3:00,101,1,100,5458
1/1/2024 3:15,52,1,100,5458
1/1/2024 3:30,118,1,100,5458
1/1/2024 3:45,1,1,100,5458
1/1/2024 4:00,65,1,100,5458
1/1/2024 4:15,35,1,100,5458
1/1/2024 4:30,69,1,100,5458
1/1/2024 4:45,7,1,100,5458
1/1/2024 5:00,52,1,100,5458
1/1/2024 5:15,72,1,100,5458
1/1/2024 5:30,24,1,100,5458
1/1/2024 5:45,44,1,100,5458
1/1/2024 6:00,13,1,100,5458
1/1/2024 6:15,43,1,100,5458
1/1/2024 6:30,75,1,100,5458
1/1/2024 6:45,25,1,100,5458
1/1/2024 7:00,40,1,100,5458
1/1/2024 7:15,7,1,100,5458
1/1/2024 7:30,100,1,100,5458
1/1/2024 7:45,114,1,100,5458
1/1/2024 8:00,6,1,100,5458
1/1/2024 8:15,40,1,100,5458
1/1/2024 8:30,14,1,100,5458
1/1/2024 8:45,4,1,100,5458
1/1/2024 9:00,1,1,100,5458
1/1/2024 9:15,87,1,100,5458
1/1/2024 9:30,90,1,100,5458
1/1/2024 9:45,101,1,100,5458
1/1/2024 10:00,73,1,100,5458
1/1/2024 10:15,70,1,100,5458
1/1/2024 10:30,35,1,100,5458
1/1/2024 10:45,84,1,100,5458
1/1/2024 11:00,85,1,100,5458
1/1/2024 11:15,90,1,100,5458
1/1/2024 11:30,61,1,100,5458
1/1/2024 11:45,87,1,100,5458
1/1/2024 12:00,50,1,100,5458
1/1/2024 12:15,41,1,100,5458
1/1/2024 12:30,29,1,100,5458
1/1/2024 12:45,15,1,100,5458
1/1/2024 13:00,31,1,100,5458
1/1/2024 13:15,111,1,100,5458
1/1/2024 13:30,112,1,100,5458
1/1/2024 13:45,82,1,100,5458
1/1/2024 14:00,40,1,100,5458
1/1/2024 14:15,49,1,100,5458
1/1/2024 14:30,25,1,100,5458
1/1/2024 14:45,42,1,100,5458
1/1/2024 15:00,109,1,100,5458
1/1/2024 15:15,84,1,100,5458
1/1/2024 15:30,55,1,100,5458
1/1/2024 15:45,22,1,100,5458
1/1/2024 16:00,99,1,100,5458
1/1/2024 16:15,55,1,100,5458
1/1/2024 16:30,66,1,100,5458
1/1/2024 16:45,11,1,100,5458
1/1/2024 17:00,81,1,100,5458
1/1/2024 17:15,87,1,100,5458
1/1/2024 17:30,63,1,100,5458
1/1/2024 17:45,71,1,100,5458
1/1/2024 18:00,93,1,100,5458
1/1/2024 18:15,44,1,100,5458
1/1/2024 18:30,1,1,100,5458
1/1/2024 18:45,48,1,100,5458
1/1/2024 19:00,120,1,100,5458
1/1/2024 19:15,48,1,100,5458
1/1/2024 19:30,32,1,100,5458
1/1/2024 19:45,99,1,100,5458
1/1/2024 20:00,8,1,100,5458
1/1/2024 20:15,103,1,100,5458
1/1/2024 20:30,100,1,100,5458
1/1/2024 20:45,94,1,100,5458
1/1/2024 21:00,87,1,100,5458
1/1/2024 21:15,24,1,100,5458
1/1/2024 21:30,37,1,100,5458
1/1/2024 21:45,54,1,100,5458
1/1/2024 22:00,47,1,100,5458
1/1/2024 22:15,13,1,100,5458
1/1/2024 22:30,35,1,100,5458
1/1/2024 22:45,2,1,100,5458
1/1/2024 23:00,86,1,100,5458
2/1/2024 0:00,19,1,100,5458
2/1/2024 0:15,7,1,100,5458
2/1/2024 0:30,90,1,100,5458
2/1/2024 0:45,12,1,100,5458
2/1/2024 1:00,104,1,100,5458
2/1/2024 1:15,62,1,100,5458
2/1/2024 1:30,68,1,100,5458
2/1/2024 1:45,86,1,100,5458
2/1/2024 2:00,118,1,100,5458
2/1/2024 2:15,97,1,100,5458
2/1/2024 2:30,81,1,100,5458
2/1/2024 2:45,68,1,100,5458
2/1/2024 3:00,110,1,100,5458
2/1/2024 3:15,101,1,100,5458
2/1/2024 3:30,24,1,100,5458
2/1/2024 3:45,107,1,100,5458
2/1/2024 4:00,107,1,100,5458
2/1/2024 4:15,20,1,100,5458
2/1/2024 4:30,117,1,100,5458
2/1/2024 4:45,77,1,100,5458
2/1/2024 5:00,104,1,100,5458
2/1/2024 5:15,8,1,100,5458
2/1/2024 5:30,47,1,100,5458
2/1/2024 5:45,58,1,100,5458
2/1/2024 6:00,62,1,100,5458
2/1/2024 6:15,101,1,100,5458
2/1/2024 6:30,111,1,100,5458
2/1/2024 6:45,47,1,100,5458
2/1/2024 7:00,107,1,100,5458
2/1/2024 7:15,16,1,100,5458
2/1/2024 7:30,82,1,100,5458
2/1/2024 7:45,26,1,100,5458
2/1/2024 8:00,113,1,100,5458
2/1/2024 8:15,10,1,100,5458
2/1/2024 8:30,86,1,100,5458
2/1/2024 8:45,92,1,100,5458
2/1/2024 9:00,49,1,100,5458
2/1/2024 9:15,21,1,100,5458
2/1/2024 9:30,88,1,100,5458
2/1/2024 9:45,103,1,100,5458
2/1/2024 10:00,68,1,100,5458
2/1/2024 10:15,92,1,100,5458
2/1/2024 10:30,43,1,100,5458
2/1/2024 10:45,94,1,100,5458
2/1/2024 11:00,3,1,100,5458
2/1/2024 11:15,52,1,100,5458
2/1/2024 11:30,72,1,100,5458
2/1/2024 11:45,76,1,100,5458
2/1/2024 12:00,29,1,100,5458
2/1/2024 12:15,68,1,100,5458
2/1/2024 12:30,58,1,100,5458
2/1/2024 12:45,80,1,100,5458
2/1/2024 13:00,119,1,100,5458
2/1/2024 13:15,56,1,100,5458
2/1/2024 13:30,102,1,100,5458
2/1/2024 13:45,20,1,100,5458
2/1/2024 14:00,61,1,100,5458
2/1/2024 14:15,80,1,100,5458
2/1/2024 14:30,17,1,100,5458
2/1/2024 14:45,77,1,100,5458
2/1/2024 15:00,109,1,100,5458
2/1/2024 15:15,22,1,100,5458
2/1/2024 15:30,76,1,100,5458
2/1/2024 15:45,94,1,100,5458
2/1/2024 16:00,65,1,100,5458
2/1/2024 16:15,57,1,100,5458
2/1/2024 16:30,9,1,100,5458
2/1/2024 16:45,31,1,100,5458
2/1/2024 17:00,73,1,100,5458
2/1/2024 17:15,100,1,100,5458
2/1/2024 17:30,94,1,100,5458
2/1/2024 17:45,10,1,100,5458
2/1/2024 18:00,49,1,100,5458
2/1/2024 18:15,101,1,100,5458
2/1/2024 18:30,10,1,100,5458
2/1/2024 18:45,80,1,100,5458
2/1/2024 19:00,45,1,100,5458
2/1/2024 19:15,106,1,100,5458
2/1/2024 19:30,11,1,100,5458
2/1/2024 19:45,107,1,100,5458
2/1/2024 20:00,53,1,100,5458
2/1/2024 20:15,78,1,100,5458
2/1/2024 20:30,5,1,100,5458
2/1/2024 20:45,10,1,100,5458
2/1/2024 21:00,30,1,100,5458
2/1/2024 21:15,83,1,100,5458
2/1/2024 21:30,28,1,100,5458
2/1/2024 21:45,73,1,100,5458
2/1/2024 22:00,62,1,100,5458
2/1/2024 22:15,45,1,100,5458
2/1/2024 22:30,47,1,100,5458
2/1/2024 22:45,24,1,100,5458
2/1/2024 23:00,85,1,100,5458
3/1/2024 0:00,30,1,100,5458
3/1/2024 0:15,51,1,100,5458
3/1/2024 0:30,35,1,100,5458
3/1/2024 0:45,32,1,100,5458
3/1/2024 1:00,67,1,100,5458
3/1/2024 1:15,68,1,100,5458
3/1/2024 1:30,14,1,100,5458
3/1/2024 1:45,108,1,100,5458
