5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/1/2024 0:00,36,1,100,7072
1/1/2024 0:15,105,1,100,7072
1/1/2024 0:30,11,1,100,7072
1/1/2024 0:45,56,1,100,7072
1/1/2024 1:00,68,1,100,7072
1/1/2024 1:15,96,1,100,7072
1/1/2024 1:30,39,1,100,7072
1/1/2024 1:45,77,1,100,7072
1/1/2024 2:00,32,1,100,7072
1/1/2024 2:15,10,1,100,7072
1/1/2024 2:30,67,1,100,7072
1/1/2024 2:45,55,1,100,7072
1/1/2024 3:00,14,1,100,7072
1/1/2024 3:15,23,1,100,7072
1/1/2024 3:30,65,1,100,7072
1/1/2024 3:45,1,1,100,7072
1/1/2024 4:00,60,1,100,7072
1/1/2024 4:15,64,1,100,7072
1/1/2024 4:30,40,1,100,7072
1/1/2024 4:45,108,1,100,7072
1/1/2024 5:00,29,1,100,7072
1/1/2024 5:15,76,1,100,7072
1/1/2024 5:30,91,1,100,7072
1/1/2024 5:45,59,1,100,7072
1/1/2024 6:00,99,1,100,7072
1/1/2024 6:15,42,1,100,7072
1/1/2024 6:30,13,1,100,7072
1/1/2024 6:45,18,1,100,7072
1/1/2024 7:00,10,1,100,7072
1/1/2024 7:15,100,1,100,7072
1/1/2024 7:30,52,1,100,7072
1/1/2024 7:45,10,1,100,7072
1/1/2024 8:00,36,1,100,7072
1/1/2024 8:15,104,1,100,7072
1/1/2024 8:30,37,1,100,7072
1/1/2024 8:45,31,1,100,7072
1/1/2024 9:00,9,1,100,7072
1/1/2024 9:15,57,1,100,7072
1/1/2024 9:30,88,1,100,7072
1/1/2024 9:45,54,1,100,7072
1/1/2024 10:00,95,1,100,7072
1/1/2024 10:15,9,1,100,7072
1/1/2024 10:30,109,1,100,7072
1/1/2024 10:45,73,1,100,7072
1/1/2024 11:00,94,1,100,7072
1/1/2024 11:15,72,1,100,7072
1/1/2024 11:30,115,1,100,7072
1/1/2024 11:45,76,1,100,7072
1/1/2024 12:00,67,1,100,7072
1/1/2024 12:15,16,1,100,7072
1/1/2024 12:30,11,1,100,7072
1/1/2024 12:45,50,1,100,7072
1/1/2024 13:00,104,1,100,7072
1/1/2024 13:15,72,1,100,7072
1/1/2024 13:30,18,1,100,7072
1/1/2024 13:45,93,1,100,7072
1/1/2024 14:00,65,1,100,7072
1/1/2024 14:15,8,1,100,7072
1/1/2024 14:30,4,1,100,7072
1/1/2024 14:45,28,1,100,7072
1/1/2024 15:00,10,1,100,7072
1/1/2024 15:15,9,1,100,7072
1/1/2024 15:30,2,1,100,7072
1/1/2024 15:45,70,1,100,7072
1/1/2024 16:00,72,1,100,7072
1/1/2024 16:15,27,1,100,7072
1/1/2024 16:30,31,1,100,7072
1/1/2024 16:45,55,1,100,7072
1/1/2024 17:00,117,1,100,7072
1/1/2024 17:15,94,1,100,7072
1/1/2024 17:30,4,1,100,7072
1/1/2024 17:45,102,1,100,7072
1/1/2024 18:00,49,1,100,7072
1/1/2024 18:15,87,1,100,7072
1/1/2024 18:30,113,1,100,7072
1/1/2024 18:45,33,1,100,7072
1/1/2024 19:00,113,1,100,7072
1/1/2024 19:15,72,1,100,7072
1/1/2024 19:30,96,1,100,7072
1/1/2024 19:45,64,1,100,7072
1/1/2024 20:00,109,1,100,7072
1/1/2024 20:15,3,1,100,7072
1/1/2024 20:30,82,1,100,7072
1/1/2024 20:45,83,1,100,7072
1/1/2024 21:00,55,1,100,7072
1/1/2024 21:15,81,1,100,7072
1/1/2024 21:30,41,1,100,7072
1/1/2024 21:45,1,1,100,7072
1/1/2024 22:00,35,1,100,7072
1/1/2024 22:15,2,1,100,7072
1/1/2024 22:30,114,1,100,7072
1/1/2024 22:45,20,1,100,7072
1/1/2024 23:00,117,1,100,7072
2/1/2024 0:00,23,1,100,7072
2/1/2024 0:15,45,1,100,7072
2/1/2024 0:30,73,1,100,7072
2/1/2024 0:45,24,1,100,7072
2/1/2024 1:00,31,1,100,7072
2/1/2024 1:15,74,1,100,7072
2/1/2024 1:30,34,1,100,7072
2/1/2024 1:45,54,1,100,7072
2/1/2024 2:00,54,1,100,7072
2/1/2024 2:15,79,1,100,7072
2/1/2024 2:30,20,1,100,7072
2/1/2024 2:45,28,1,100,7072
2/1/2024 3:00,85,1,100,7072
2/1/2024 3:15,13,1,100,7072
2/1/2024 3:30,104,1,100,7072
2/1/2024 3:45,53,1,100,7072
2/1/2024 4:00,80,1,100,7072
2/1/2024 4:15,60,1,100,7072
2/1/2024 4:30,105,1,100,7072
2/1/2024 4:45,79,1,100,7072
2/1/2024 5:00,58,1,100,7072
2/1/2024 5:15,97,1,100,7072
2/1/2024 5:30,88,1,100,7072
2/1/2024 5:45,120,1,100,7072
2/1/2024 6:00,2,1,100,7072
2/1/2024 6:15,37,1,100,7072
2/1/2024 6:30,2,1,100,7072
2/1/2024 6:45,63,1,100,7072
2/1/2024 7:00,84,1,100,7072
2/1/2024 7:15,80,1,100,7072
2/1/2024 7:30,46,1,100,7072
2/1/2024 7:45,69,1,100,7072
2/1/2024 8:00,89,1,100,7072
2/1/2024 8:15,34,1,100,7072
