5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/1/2024 0:00,55,1,100,1452
1/1/2024 0:15,14,1,100,1452
1/1/2024 0:30,49,1,100,1452
1/1/2024 0:45,109,1,100,1452
1/1/2024 1:00,53,1,100,1452
1/1/2024 1:15,85,1,100,1452
1/1/2024 1:30,14,1,100,1452
1/1/2024 1:45,105,1,100,1452
1/1/2024 2:00,74,1,100,1452
1/1/2024 2:15,2,1,100,1452
1/1/2024 2:30,5,1,100,1452
1/1/2024 2:45,116,1,100,1452
1/1/2024 3:00,53,1,100,1452
1/1/2024 3:15,58,1,100,1452
1/1/2024 3:30,18,1,100,1452
1/1/2024 3:45,60,1,100,1452
1/1/2024 4:00,25,1,100,1452
1/1/2024 4:15,52,1,100,1452
1/1/2024 4:30,9,1,100,1452
1/1/2024 4:45,36,1,100,1452
1/1/2024 5:00,107,1,100,1452
1/1/2024 5:15,46,1,100,1452
1/1/2024 5:30,38,1,100,1452
1/1/2024 5:45,76,1,100,1452
1/1/2024 6:00,30,1,100,1452
1/1/2024 6:15,37,1,100,1452
1/1/2024 6:30,76,1,100,1452
1/1/2024 6:45,19,1,100,1452
1/1/2024 7:00,103,1,100,1452
1/1/2024 7:15,40,1,100,1452
1/1/2024 7:30,64,1,100,1452
1/1/2024 7:45,52,1,100,1452
1/1/2024 8:00,93,1,100,1452
1/1/2024 8:15,107,1,100,1452
1/1/2024 8:30,100,1,100,1452
1/1/2024 8:45,2,1,100,1452
1/1/2024 9:00,114,1,100,1452
1/1/2024 9:15,5,1,100,1452
1/1/2024 9:30,23,1,100,1452
1/1/2024 9:45,108,1,100,1452
1/1/2024 10:00,100,1,100,1452
1/1/2024 10:15,104,1,100,1452
1/1/2024 10:30,6,1,100,1452
1/1/2024 10:45,61,1,100,1452
1/1/2024 11:00,51,1,100,1452
1/1/2024 11:15,24,1,100,1452
1/1/2024 11:30,36,1,100,1452
1/1/2024 11:45,66,1,100,1452
1/1/2024 12:00,28,1,100,1452
1/1/2024 12:15,95,1,100,1452
1/1/2024 12:30,118,1,100,1452
1/1/2024 12:45,59,1,100,1452
1/1/2024 13:00,57,1,100,1452
1/1/2024 13:15,107,1,100,1452
1/1/2024 13:30,56,1,100,1452
1/1/2024 13:45,63,1,100,1452
1/1/2024 14:00,90,1,100,1452
1/1/2024 14:15,73,1,100,1452
1/1/2024 14:30,9,1,100,1452
1/1/2024 14:45,70,1,100,1452
1/1/2024 15:00,24,1,100,1452
1/1/2024 15:15,81,1,100,1452
1/1/2024 15:30,5,1,100,1452
1/1/2024 15:45,72,1,100,1452
1/1/2024 16:00,106,1,100,1452
1/1/2024 16:15,83,1,100,1452
1/1/2024 16:30,115,1,100,1452
1/1/2024 16:45,20,1,100,1452
1/1/2024 17:00,24,1,100,1452
1/1/2024 17:15,28,1,100,1452
1/1/2024 17:30,119,1,100,1452
1/1/2024 17:45,103,1,100,1452
1/1/2024 18:00,82,1,100,1452
1/1/2024 18:15,112,1,100,1452
1/1/2024 18:30,51,1,100,1452
1/1/2024 18:45,68,1,100,1452
1/1/2024 19:00,32,1,100,1452
1/1/2024 19:15,42,1,100,1452
1/1/2024 19:30,76,1,100,1452
1/1/2024 19:45,81,1,100,1452
1/1/2024 20:00,114,1,100,1452
1/1/2024 20:15,39,1,100,1452
1/1/2024 20:30,109,1,100,1452
1/1/2024 20:45,73,1,100,1452
