5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/1/2024 0:00,39,1,100,6966
1/1/2024 0:15,72,1,100,6966
1/1/2024 0:30,12,1,100,6966
1/1/2024 0:45,1,1,100,6966
1/1/2024 1:00,93,1,100,6966
1/1/2024 1:15,100,1,100,6966
1/1/2024 1:30,64,1,100,6966
1/1/2024 1:45,94,1,100,6966
1/1/2024 2:00,69,1,100,6966
1/1/2024 2:15,88,1,100,6966
1/1/2024 2:30,14,1,100,6966
1/1/2024 2:45,89,1,100,6966
1/1/2024 3:00,30,1,100,6966
1/1/2024 3:15,92,1,100,6966
1/1/2024 3:30,13,1,100,6966
1/1/2024 3:45,40,1,100,6966
1/1/2024 4:00,4,1,100,6966
1/1/2024 4:15,59,1,100,6966
1/1/2024 4:30,73,1,100,6966
1/1/2024 4:45,20,1,100,6966
1/1/2024 5:00,58,1,100,6966
1/1/2024 5:15,65,1,100,6966
1/1/2024 5:30,61,1,100,6966
1/1/2024 5:45,84,1,100,6966
1/1/2024 6:00,82,1,100,6966
1/1/2024 6:15,87,1,100,6966
1/1/2024 6:30,50,1,100,6966
1/1/2024 6:45,43,1,100,6966
1/1/2024 7:00,21,1,100,6966
1/1/2024 7:15,57,1,100,6966
1/1/2024 7:30,11,1,100,6966
1/1/2024 7:45,17,1,100,6966
1/1/2024 8:00,104,1,100,6966
1/1/2024 8:15,95,1,100,6966
1/1/2024 8:30,69,1,100,6966
1/1/2024 8:45,16,1,100,6966
1/1/2024 9:00,72,1,100,6966
1/1/2024 9:15,99,1,100,6966
1/1/2024 9:30,48,1,100,6966
1/1/2024 9:45,117,1,100,6966
1/1/2024 10:00,14,1,100,6966
1/1/2024 10:15,93,1,100,6966
1/1/2024 10:30,101,1,100,6966
1/1/2024 10:45,76,1,100,6966
1/1/2024 11:00,30,1,100,6966
1/1/2024 11:15,65,1,100,6966
1/1/2024 11:30,21,1,100,6966
1/1/2024 11:45,104,1,100,6966
1/1/2024 12:00,96,1,100,6966
1/1/2024 12:15,13,1,100,6966
1/1/2024 12:30,120,1,100,6966
1/1/2024 12:45,65,1,100,6966
1/1/2024 13:00,82,1,100,6966
1/1/2024 13:15,107,1,100,6966
1/1/2024 13:30,88,1,100,6966
1/1/2024 13:45,92,1,100,6966
1/1/2024 14:00,79,1,100,6966
1/1/2024 14:15,90,1,100,6966
1/1/2024 14:30,27,1,100,6966
1/1/2024 14:45,94,1,100,6966
1/1/2024 15:00,105,1,100,6966
1/1/2024 15:15,50,1,100,6966
1/1/2024 15:30,113,1,100,6966
1/1/2024 15:45,77,1,100,6966
1/1/2024 16:00,46,1,100,6966
1/1/2024 16:15,114,1,100,6966
1/1/2024 16:30,9,1,100,6966
1/1/2024 16:45,88,1,100,6966
1/1/2024 17:00,23,1,100,6966
1/1/2024 17:15,93,1,100,6966
1/1/2024 17:30,96,1,100,6966
1/1/2024 17:45,101,1,100,6966
1/1/2024 18:00,98,1,100,6966
1/1/2024 18:15,16,1,100,6966
1/1/2024 18:30,38,1,100,6966
1/1/2024 18:45,94,1,100,6966
1/1/2024 19:00,82,1,100,6966
1/1/2024 19:15,43,1,100,6966
1/1/2024 19:30,66,1,100,6966
1/1/2024 19:45,98,1,100,6966
1/1/2024 20:00,25,1,100,6966
1/1/2024 20:15,80,1,100,6966
1/1/2024 20:30,120,1,100,6966
1/1/2024 20:45,93,1,100,6966
1/1/2024 21:00,54,1,100,6966
1/1/2024 21:15,27,1,100,6966
1/1/2024 21:30,47,1,100,6966
1/1/2024 21:45,29,1,100,6966
1/1/2024 22:00,25,1,100,6966
1/1/2024 22:15,40,1,100,6966
1/1/2024 22:30,50,1,100,6966
1/1/2024 22:45,49,1,100,6966
1/1/2024 23:00,5,1,100,6966
2/1/2024 0:00,54,1,100,6966
2/1/2024 0:15,23,1,100,6966
2/1/2024 0:30,101,1,100,6966
2/1/2024 0:45,115,1,100,6966
2/1/2024 1:00,39,1,100,6966
2/1/2024 1:15,48,1,100,6966
2/1/2024 1:30,61,1,100,6966
2/1/2024 1:45,47,1,100,6966
2/1/2024 2:00,46,1,100,6966
2/1/2024 2:15,99,1,100,6966
2/1/2024 2:30,67,1,100,6966
2/1/2024 2:45,42,1,100,6966
2/1/2024 3:00,3,1,100,6966
2/1/2024 3:15,79,1,100,6966
2/1/2024 3:30,38,1,100,6966
2/1/2024 3:45,12,1,100,6966
2/1/2024 4:00,62,1,100,6966
2/1/2024 4:15,89,1,100,6966
2/1/2024 4:30,64,1,100,6966
2/1/2024 4:45,65,1,100,6966
2/1/2024 5:00,96,1,100,6966
2/1/2024 5:15,69,1,100,6966
2/1/2024 5:30,120,1,100,6966
2/1/2024 5:45,74,1,100,6966
2/1/2024 6:00,89,1,100,6966
2/1/2024 6:15,6,1,100,6966
2/1/2024 6:30,22,1,100,6966
2/1/2024 6:45,95,1,100,6966
2/1/2024 7:00,84,1,100,6966
2/1/2024 7:15,73,1,100,6966
2/1/2024 7:30,89,1,100,6966
2/1/2024 7:45,34,1,100,6966
2/1/2024 8:00,88,1,100,6966
